match_id,fecha,jornada,torneo,local,visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,shots_local,shots_visitante,shots_ot_local,shots_ot_visitante,xg_local,xg_visitante,corners_total,amarillas_total,rojas_total
5101734,2026-01-17,3,Liga MX Clausura 2026,Chivas,Queretaro FC,2,1,7.0,2.0,2.0,3.0,0.0,0.0,22.0,11.0,8.0,4.0,2.36,1.37,9.0,5.0,0.0
5101736,2026-01-18,3,Liga MX Clausura 2026,Tigres,Toluca,0,0,3.0,3.0,2.0,4.0,1.0,0.0,7.0,12.0,2.0,4.0,0.27,0.65,6.0,6.0,1.0
5101738,2026-01-18,3,Liga MX Clausura 2026,Cruz Azul,Puebla,1,0,10.0,4.0,1.0,2.0,0.0,1.0,35.0,5.0,10.0,0.0,1.61,0.17,14.0,3.0,1.0
5101737,2026-01-18,3,Liga MX Clausura 2026,Tijuana,Atletico de San Luis,1,1,2.0,1.0,4.0,0.0,0.0,0.0,8.0,10.0,4.0,2.0,0.85,0.62,3.0,4.0,0.0
5101739,2026-01-18,3,Liga MX Clausura 2026,Pumas,Leon,1,1,5.0,4.0,3.0,1.0,0.0,0.0,13.0,17.0,2.0,6.0,0.85,1.4,9.0,4.0,0.0
5101740,2026-01-18,3,Liga MX Clausura 2026,Santos Laguna,FC Juarez,2,2,6.0,3.0,4.0,4.0,0.0,0.0,21.0,24.0,6.0,9.0,2.16,1.41,9.0,8.0,0.0
5101741,2026-01-19,3,Liga MX Clausura 2026,Pachuca,CF America,0,0,3.0,6.0,3.0,1.0,0.0,0.0,7.0,10.0,2.0,2.0,0.38,0.55,9.0,4.0,0.0
5101742,2026-01-31,4,Liga MX Clausura 2026,Puebla,Toluca,0,0,0.0,12.0,2.0,3.0,1.0,0.0,4.0,28.0,1.0,5.0,0.53,2.13,12.0,5.0,1.0
5101744,2026-01-31,4,Liga MX Clausura 2026,Pumas,Santos Laguna,4,0,0.0,7.0,2.0,3.0,0.0,0.0,8.0,10.0,5.0,4.0,0.38,0.72,7.0,5.0,0.0
5101743,2026-01-31,4,Liga MX Clausura 2026,FC Juarez,Cruz Azul,3,4,4.0,7.0,1.0,3.0,0.0,1.0,18.0,17.0,8.0,7.0,2.47,2.56,11.0,4.0,1.0
