fecha_prediccion,fecha_partido,partido,liga,jornada,equipo_local,equipo_visita,mercado,linea,prob_modelo,cuota_vista,ev_estimado,resultado_real,acierto,corners_real,tarjetas_real,goles_local_real,goles_visita_real
2026-04-19,2026-04-22,Monterrey vs Puebla,Liga MX Clausura 2026,16,Monterrey,Puebla,tarjetas_over_4.5,4.5,0.476,,,,,,,,
2026-04-19,2026-04-22,Monterrey vs Puebla,Liga MX Clausura 2026,16,Monterrey,Puebla,tarjetas_over_5.5,5.5,0.304,,,,,,,,
2026-04-19,2026-04-22,Monterrey vs Puebla,Liga MX Clausura 2026,16,Monterrey,Puebla,btts_si,,0.544,,,,,,,,
2026-04-19,2026-04-22,Monterrey vs Puebla,Liga MX Clausura 2026,16,Monterrey,Puebla,goles_over_2.5,2.5,0.51,1.55,-0.2095,,,,,,
2026-04-19,2026-04-22,Monterrey vs Puebla,Liga MX Clausura 2026,16,Monterrey,Puebla,goles_over_1.5,1.5,0.769,,,,,,,,
2026-04-19,2026-04-22,Leon vs CF America,Liga MX Clausura 2026,16,Leon,CF America,corners_over_8.5,8.5,0.602,,,,,,,,
2026-04-19,2026-04-22,Leon vs CF America,Liga MX Clausura 2026,16,Leon,CF America,corners_over_9.5,9.5,0.472,,,,,,,,
2026-04-19,2026-04-22,Leon vs CF America,Liga MX Clausura 2026,16,Leon,CF America,corners_over_10.5,10.5,0.349,,,,,,,,
2026-04-19,2026-04-22,Leon vs CF America,Liga MX Clausura 2026,16,Leon,CF America,tarjetas_over_3.5,3.5,0.691,,,,,,,,
2026-04-19,2026-04-22,Leon vs CF America,Liga MX Clausura 2026,16,Leon,CF America,tarjetas_over_4.5,4.5,0.506,,,,,,,,
2026-04-19,2026-04-22,Leon vs CF America,Liga MX Clausura 2026,16,Leon,CF America,tarjetas_over_5.5,5.5,0.333,,,,,,,,
2026-04-19,2026-04-22,Leon vs CF America,Liga MX Clausura 2026,16,Leon,CF America,btts_si,,0.574,,,,,,,,
2026-04-19,2026-04-22,Leon vs CF America,Liga MX Clausura 2026,16,Leon,CF America,goles_over_2.5,2.5,0.537,1.72,-0.0764,,,,,,
2026-04-19,2026-04-22,Leon vs CF America,Liga MX Clausura 2026,16,Leon,CF America,goles_over_1.5,1.5,0.788,,,,,,,,
2026-04-19,2026-04-23,Atlas vs Tigres,Liga MX Clausura 2026,16,Atlas,Tigres,corners_over_8.5,8.5,0.358,,,,,,,,
2026-04-19,2026-04-23,Atlas vs Tigres,Liga MX Clausura 2026,16,Atlas,Tigres,corners_over_9.5,9.5,0.241,,,,,,,,
2026-04-19,2026-04-23,Atlas vs Tigres,Liga MX Clausura 2026,16,Atlas,Tigres,corners_over_10.5,10.5,0.151,,,,,,,,
2026-04-19,2026-04-23,Atlas vs Tigres,Liga MX Clausura 2026,16,Atlas,Tigres,tarjetas_over_3.5,3.5,0.818,,,,,,,,
2026-04-19,2026-04-23,Atlas vs Tigres,Liga MX Clausura 2026,16,Atlas,Tigres,tarjetas_over_4.5,4.5,0.67,,,,,,,,
2026-04-19,2026-04-23,Atlas vs Tigres,Liga MX Clausura 2026,16,Atlas,Tigres,tarjetas_over_5.5,5.5,0.502,,,,,,,,
2026-04-19,2026-04-23,Atlas vs Tigres,Liga MX Clausura 2026,16,Atlas,Tigres,btts_si,,0.583,,,,,,,,
2026-04-19,2026-04-23,Atlas vs Tigres,Liga MX Clausura 2026,16,Atlas,Tigres,goles_over_2.5,2.5,0.542,2.05,0.1111,,,,,,
2026-04-19,2026-04-23,Atlas vs Tigres,Liga MX Clausura 2026,16,Atlas,Tigres,goles_over_1.5,1.5,0.792,,,,,,,,
