fecha,liga,nombre_liga,pais,temporada,local,visitante,goles_local,goles_visita,odd_1,odd_X,odd_2,odd_over25,odd_under25
2024-12-29,premier,Premier League,England,2024/2025,Tottenham,Wolves,2,2,1.63,4.91,4.57,1.33,3.4
2024-12-29,premier,Premier League,England,2024/2025,West Ham,Liverpool,0,5,7.32,5.34,1.4,1.4,3.0
2024-12-30,premier,Premier League,England,2024/2025,Aston Villa,Brighton,2,2,1.99,3.91,3.62,1.57,2.38
2024-12-30,premier,Premier League,England,2024/2025,Ipswich,Chelsea,2,0,7.1,5.2,1.42,1.44,2.75
2024-12-30,premier,Premier League,England,2024/2025,Man United,Newcastle,0,2,2.72,3.68,2.54,1.62,2.3
2025-01-01,premier,Premier League,England,2024/2025,Brentford,Arsenal,1,3,6.98,4.93,1.44,1.53,2.5
2025-01-04,premier,Premier League,England,2024/2025,Tottenham,Newcastle,1,2,2.97,4.06,2.22,1.33,3.4
2025-01-04,premier,Premier League,England,2024/2025,Aston Villa,Leicester,2,1,1.32,5.64,9.41,1.5,2.63
2025-01-04,premier,Premier League,England,2024/2025,Bournemouth,Everton,1,0,1.75,3.91,4.82,1.91,1.99
2025-01-04,premier,Premier League,England,2024/2025,Crystal Palace,Chelsea,1,1,3.69,3.97,1.95,1.57,2.38
2025-01-04,premier,Premier League,England,2024/2025,Man City,West Ham,4,1,1.32,6.41,8.2,1.33,3.4
2025-01-04,premier,Premier League,England,2024/2025,Southampton,Brentford,0,5,2.95,3.59,2.41,1.67,2.2
2025-01-04,premier,Premier League,England,2024/2025,Brighton,Arsenal,1,1,4.62,3.7,1.82,1.73,2.1
2025-01-05,premier,Premier League,England,2024/2025,Fulham,Ipswich,2,2,1.56,4.46,5.71,1.73,2.1
2025-01-05,premier,Premier League,England,2024/2025,Liverpool,Man United,2,2,1.29,6.14,9.37,1.44,2.75
2025-01-06,premier,Premier League,England,2024/2025,Wolves,Nott'm Forest,0,3,3.44,3.22,2.31,2.1,1.73
2025-01-14,premier,Premier League,England,2024/2025,Brentford,Man City,2,2,4.9,4.56,1.65,1.4,3.0
2025-01-14,premier,Premier League,England,2024/2025,Chelsea,Bournemouth,2,2,1.5,4.96,6.17,1.4,3.0
2025-01-14,premier,Premier League,England,2024/2025,West Ham,Fulham,3,2,3.03,3.54,2.41,1.86,2.04
2025-01-14,premier,Premier League,England,2024/2025,Nott'm Forest,Liverpool,1,1,5.28,4.24,1.65,1.62,2.3
2025-01-15,premier,Premier League,England,2024/2025,Everton,Aston Villa,0,1,3.26,3.31,2.36,2.08,1.82
2025-01-15,premier,Premier League,England,2024/2025,Leicester,Crystal Palace,0,2,4.01,3.76,1.93,1.73,2.1
2025-01-15,premier,Premier League,England,2024/2025,Newcastle,Wolves,3,0,1.36,5.73,7.91,1.44,2.75
