id,nombre,equipo,equipo_id,posicion,edad,nacionalidad,pais_cod,altura_cm,camiseta,valor_mercado_eur,rating,goles,asistencias,minutos_stats,partidos_stats,goles_p90,xG_p90,tiros_p90,tiros_a_puerta_p90,asistencias_p90,xA_p90,chances_creadas_p90,grandes_chances_p90,pases_precisos_p90,pases_largos_p90,duelos_tierra_ganados_p90,recuperaciones_campo_rival_p90,entradas_p90,intercepciones_p90,despejes_p90,tiros_bloqueados_p90,faltas_cometidas_p90,tarjetas_amarillas_p90,tarjetas_rojas_p90,paradas_p90,porcentaje_paradas_p90,goles_evitados_p90,goles_recibidos_p90,porterias_cero_p90,penales_ganados_p90
1895025,Ricardo Alonso,Necaxa,1842,,18,Mexico,MEX,,232.0,50000,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
905265,Kevin Gutiérrez,Necaxa,1842,"CM,CDM",28,Argentina,ARG,168.0,5.0,1927479,6.47,,,522.0,11.0,,0.03,1.2,0.2,,0.09,3.0,,47.9,2.8,0.3,0.3,2.1,1.2,1.6,0.2,1.6,0.172,0.172,,,,,,
1045163,Danny Leyva,Necaxa,1842,"CDM,CM,CAM",22,USA,USA,178.0,6.0,1500000,7.14,,2.0,940.0,12.0,,0.01,0.5,0.2,0.191,0.13,23.0,3.0,39.5,3.4,0.1,0.2,1.9,0.9,1.6,0.2,0.9,0.096,,,,,,,
1289395,Kevin Rosero,Necaxa,1842,"RWB,RM,RW,CAM,RB",27,Colombia,COL,178.0,7.0,1441177,6.63,,1.0,737.0,10.0,,0.03,1.0,,0.122,0.17,13.0,1.0,16.9,0.4,1.3,0.5,1.5,0.9,1.5,0.1,1.2,0.122,0.122,,,,,,
245581,Lorenzo Faravelli,Necaxa,1842,"CM,CDM,CAM",32,Argentina,ARG,179.0,8.0,1038090,6.77,,1.0,1019.0,12.0,,0.04,0.9,0.3,0.088,0.1,9.0,1.0,34.9,2.5,0.1,0.7,1.7,1.0,0.5,0.1,0.7,0.177,,,,,,,
935060,Agustín Almendra,Necaxa,1842,"CM,CDM,CAM",26,Argentina,ARG,,10.0,1920795,6.47,,,343.0,7.0,,0.03,0.8,,,0.16,4.0,1.0,26.8,4.2,0.3,0.3,0.3,1.3,0.5,0.3,0.5,,,,,,,,
1656865,Franco Rossano,Necaxa,1842,"LWB,LB,LW",20,Mexico,MEX,179.0,24.0,30000,6.58,,3.0,542.0,12.0,,0.08,1.2,0.2,0.498,0.15,7.0,3.0,18.6,0.7,0.7,0.3,2.2,0.5,0.8,0.3,2.0,0.166,,,,,,,1.0
1513420,Javier Ruiz,Necaxa,1842,"LM,CAM,RM,CM,ST",21,Argentina,ARG,173.0,35.0,4540420,6.89,4.0,,344.0,7.0,1.05,0.16,2.6,1.8,,0.06,2.0,,15.4,1.6,2.9,,1.0,0.5,0.3,,0.8,,,,,,,,
1470067,Daniel Márquez,Necaxa,1842,,20,Mexico,MEX,175.0,136.0,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888853,Israel Tello,Necaxa,1842,"CAM,RWB",20,Mexico,MEX,,188.0,20000,6.55,,1.0,421.0,8.0,,0.06,0.9,0.4,0.214,0.04,4.0,,14.1,0.9,0.6,0.4,1.7,,0.2,,0.4,,,,,,,,
1899838,Luis Ibarra,Necaxa,1842,,19,Mexico,MEX,,194.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444772,Arath Moreno,Necaxa,1842,,20,Mexico,MEX,171.0,197.0,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706174,Joshua Palacios,Necaxa,1842,,19,Mexico,MEX,181.0,210.0,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923598,Tomás Badaloni,Necaxa,1842,ST,25,Argentina,ARG,186.0,9.0,1248220,6.67,3.0,1.0,794.0,12.0,0.34,0.28,3.5,1.4,0.113,0.02,6.0,,11.9,0.1,0.3,0.7,0.5,0.1,0.9,,1.9,,,,,,,,
1393763,Rogelio Cortéz,Necaxa,1842,LW,21,Mexico,MEX,173.0,17.0,853582,,,,69.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
874618,Julián Carranza,Necaxa,1842,ST,25,Argentina,ARG,182.0,21.0,5774180,,3.0,,308.0,6.0,0.88,0.47,2.3,0.9,,0.03,2.0,,6.1,0.3,,0.3,2.6,0.3,0.3,0.3,2.9,0.292,0.292,,,,,,
1023022,Ricardo Monreal,Necaxa,1842,"RW,CAM,LM,ST",25,Mexico,MEX,176.0,30.0,1671743,6.43,1.0,1.0,763.0,12.0,0.12,0.29,2.5,0.7,0.118,0.12,7.0,2.0,17.1,0.6,1.7,0.1,1.7,0.9,0.4,0.1,1.9,0.236,,,,,,,
1226999,Bryan Casas,Necaxa,1842,,21,Mexico,MEX,187.0,189.0,90000,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
716748,José Hernández,Queretaro FC,1943,GK,28,Mexico,MEX,177.0,1.0,362067,,,,128.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.703,
1199425,Luis Villegas Garcia,Queretaro FC,1943,GK,24,Mexico,MEX,185.0,24.0,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207791,Guillermo Allison,Queretaro FC,1943,GK,35,Mexico,MEX,191.0,25.0,396192,6.49,,,862.0,10.0,,,,,,0.0,,,11.4,,,,,,0.7,,,0.104,,3.1,65.2,-1.3,1.7,0.209,
942984,Lucas Abascia,Queretaro FC,1943,CB,30,Argentina,ARG,184.0,2.0,1292799,6.7,,,990.0,11.0,,0.03,0.5,0.1,,0.01,3.0,,24.5,2.9,0.2,,1.6,2.6,5.2,1.1,1.0,0.364,,,,,,,
559999,Omar Mendoza,Queretaro FC,1943,"RB,LB,CB,LWB",37,Mexico,MEX,173.0,2.0,332591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436165,Santiago Homenchenko,Queretaro FC,1943,"CB,CM,CDM",22,Uruguay,URU,184.0,6.0,500000,7.19,1.0,,802.0,9.0,0.11,0.21,2.7,1.1,,0.13,7.0,1.0,27.5,5.2,0.7,0.8,3.4,1.3,2.1,0.2,1.6,0.561,0.112,,,,,,
201111,Diego Reyes,Queretaro FC,1943,CB,33,Mexico,MEX,191.0,9.0,434665,6.6,,,720.0,8.0,,0.01,0.1,,,0.01,,,22.4,2.6,,,1.5,1.1,6.3,1.1,0.3,0.125,,,,,,,
402810,Jaime Gómez,Queretaro FC,1943,RB,32,Mexico,MEX,175.0,12.0,411468,6.45,,,708.0,9.0,,0.01,0.3,,,0.03,3.0,,20.5,1.5,0.5,,1.7,0.9,2.0,,0.8,0.254,,,,,,,
350568,Carlos Villanueva,Queretaro FC,1943,"CB,RB",31,Mexico,MEX,184.0,15.0,357816,,,,288.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
693677,Francisco Venegas,Queretaro FC,1943,"LB,RM,LM",27,Mexico,MEX,178.0,17.0,1058771,6.73,,,668.0,8.0,,0.03,0.9,0.3,,0.08,8.0,2.0,21.3,2.6,0.1,,1.8,1.1,2.2,0.3,0.9,0.135,0.135,,,,,,
1554213,Bayron Duarte,Queretaro FC,1943,RB,23,Colombia,COL,179.0,22.0,330000,,,,234.0,4.0,,,,,,,1.0,,,,,,,,,,,0.385,,,,,,,
1442404,Juan Robles,Queretaro FC,1943,RWB,22,Mexico,MEX,165.0,23.0,527098,,,,56.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
772312,Daniel Parra,Queretaro FC,1943,"LB,LWB,RB",26,Mexico,MEX,180.0,27.0,0,,,,329.0,7.0,,0.11,1.6,0.3,,0.01,2.0,,17.8,2.5,0.5,0.8,4.4,2.2,3.6,0.3,3.0,0.274,,,,,,,
1198714,Carlo García,Queretaro FC,1943,CM,25,Spain,ESP,,4.0,431265,6.62,,,635.0,11.0,,0.07,1.3,,,0.01,1.0,1.0,23.5,1.4,0.4,0.1,2.0,1.7,1.7,0.1,1.4,0.283,,,,,,,
860927,Jhojan Julio,Queretaro FC,1943,"RM,LM,ST,CAM,RW",28,Ecuador,ECU,,7.0,691808,7.0,2.0,1.0,695.0,11.0,0.26,0.11,1.4,0.5,0.129,0.13,11.0,2.0,14.9,1.2,1.2,0.1,2.1,0.4,0.1,,2.1,0.259,,,,,,,2.0
1470112,Bernardo Parra,Queretaro FC,1943,"CDM,CM",21,Mexico,MEX,175.0,8.0,1621193,6.63,,,449.0,9.0,,0.01,0.4,,,0.05,2.0,,19.8,2.6,0.2,0.2,1.8,1.2,1.2,1.0,1.2,0.2,,,,,,,
1329364,Eduardo Armenta,Queretaro FC,1943,"CM,CDM,CAM",24,Mexico,MEX,175.0,13.0,654748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666305,Jean Unjanque,Queretaro FC,1943,"RW,LM,RM",21,Senegal,SEN,180.0,14.0,350000,6.53,,1.0,512.0,9.0,,0.16,1.4,0.2,0.176,0.1,6.0,2.0,13.4,0.7,1.2,0.9,1.2,0.9,0.2,,1.6,0.176,,,,,,,
1166561,Erik Dueñas,Queretaro FC,1943,"CM,RW",21,Mexico,MEX,166.0,18.0,562902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253261,Álex Alcalá,Queretaro FC,1943,CAM,20,Mexico,MEX,155.0,20.0,367327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787308,Christopher Figueroa,Queretaro FC,1943,,22,Mexico,MEX,,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410518,Fernando González,Queretaro FC,1943,ST,24,Mexico,MEX,177.0,21.0,430000,6.61,,1.0,324.0,10.0,,0.1,2.8,0.6,0.278,0.23,10.0,1.0,25.8,1.9,0.8,0.6,1.9,0.8,0.3,0.3,,,,,,,,,
1251768,Waldo Madrid,Queretaro FC,1943,CDM,22,Mexico,MEX,182.0,29.0,55000,6.19,,,173.0,8.0,,0.43,2.1,,,0.24,1.0,,26.0,,0.5,0.5,1.0,2.1,,,1.0,,,,,,,,
1279494,Luis Gutiérrez,Queretaro FC,1943,,24,Mexico,MEX,182.0,33.0,468148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729947,Edison Gruezo,Queretaro FC,1943,,18,Ecuador,ECU,,44.0,897402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432155,Victor López,Queretaro FC,1943,LM,22,Mexico,MEX,165.0,47.0,758116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134930,Michael Carcelén,Queretaro FC,1943,"CAM,ST,CM",28,Ecuador,ECU,,55.0,717031,6.27,,,206.0,6.0,,0.02,0.4,,,0.16,3.0,,23.6,0.4,0.4,,0.9,1.3,1.7,1.3,3.1,0.874,,,,,,,
1813757,Darío Rodríguez,Queretaro FC,1943,,18,Mexico,MEX,,188.0,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895026,Juan Cázares,Queretaro FC,1943,LM,20,Mexico,MEX,182.0,190.0,20000,,,,196.0,4.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,
70865,Pablo Barrera,Queretaro FC,1943,"RW,ST",38,Mexico,MEX,175.0,8.0,353958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655806,Lucas Rodríguez,Queretaro FC,1943,"ST,LW,RW,RM,LM,CM",28,Argentina,ARG,168.0,10.0,1221754,6.4,,,273.0,7.0,,0.14,1.0,0.7,,0.1,9.0,,19.1,1.0,1.3,1.0,1.0,0.3,0.7,0.3,2.3,0.33,,,,,,,
559997,Eduardo Pérez,Queretaro FC,1943,"ST,RW",32,Mexico,MEX,175.0,26.0,420000,,,,131.0,6.0,,0.25,3.4,,,0.16,3.0,1.0,11.7,,0.7,1.4,0.7,,,,2.1,,,,,,,,
1109028,Alí Ávila,Queretaro FC,1943,ST,22,Mexico,MEX,178.0,31.0,2300000,6.29,2.0,,670.0,8.0,0.27,0.29,1.5,0.7,,0.05,6.0,2.0,10.1,0.7,0.4,0.1,0.5,,0.7,,1.6,0.403,0.134,,,,,,
616341,Carlos Valenzuela,Queretaro FC,1943,RM,28,Argentina,ARG,165.0,32.0,353352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884282,Mateo Coronel,Queretaro FC,1943,ST,27,Argentina,ARG,172.0,37.0,2050958,6.67,3.0,,840.0,11.0,0.32,0.56,2.4,1.5,,0.06,7.0,2.0,10.5,0.4,0.8,0.3,0.6,0.3,0.1,0.1,1.4,0.321,,,,,,,1.0
1900077,Claudio Zubizarreta,Queretaro FC,1943,,20,Mexico,MEX,,187.0,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51949,Keylor Navas,Pumas,1946,GK,39,Costa Rica,CRC,185.0,1.0,775052,7.34,,,990.0,11.0,,,,,,0.0,1.0,,28.2,,,,,,1.7,,,0.182,,4.3,79.7,2.9,1.1,0.364,
1608419,Pablo Lara,Pumas,1946,GK,20,Mexico,MEX,185.0,35.0,1357563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457903,Miguel Paul,Pumas,1946,GK,22,Mexico,MEX,182.0,181.0,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783529,Rodrigo Parra,Pumas,1946,GK,18,Mexico,MEX,,256.0,85000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169770,Pablo Bennevendo,Pumas,1946,"RB,CB,RWB",26,Mexico,MEX,178.0,2.0,1759394,,,,199.0,4.0,,,,,,,,,,,,,,,,,,0.452,,,,,,,
358138,Rubén Duarte,Pumas,1946,"CB,LB",30,Spain,ESP,180.0,5.0,1854605,,,,370.0,7.0,,0.01,0.5,,,0.01,,,47.2,2.4,,,1.2,1.0,4.6,0.7,1.0,0.243,,,,,,,
754495,Nathan Silva,Pumas,1946,CB,28,Brazil,BRA,183.0,6.0,2665526,6.61,,,968.0,11.0,,0.07,0.6,0.1,,0.02,1.0,1.0,48.0,2.0,,0.1,0.7,0.6,4.9,0.9,0.6,,0.093,,,,,,
1440801,Pablo Monroy,Pumas,1946,"RB,RWB",23,Mexico,MEX,169.0,13.0,1263470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125755,Jesús Rivas,Pumas,1946,"RB,RWB,CB",23,Mexico,MEX,171.0,19.0,800307,,,,361.0,5.0,,,,,,,1.0,,,,,,,,,,,0.249,,,,,,,
1166559,Tony Leone,Pumas,1946,RB,21,Mexico,MEX,183.0,24.0,880932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860780,Álvaro Angulo,Pumas,1946,"LB,LWB,LW",29,Colombia,COL,,77.0,2500000,7.02,3.0,,860.0,10.0,0.31,0.23,1.5,0.5,,0.03,4.0,,23.0,0.6,0.3,0.2,1.2,1.2,4.4,0.2,1.2,,0.105,,,,,,
1720655,Angel Azuaje,Pumas,1946,CB,21,Venezuela,VEN,,215.0,896867,6.61,,,664.0,10.0,,0.01,0.4,0.1,,0.01,2.0,,39.7,3.4,0.4,,0.5,0.4,7.7,0.8,0.8,0.271,,,,,,,
1381368,Rodrigo López,Pumas,1946,"RM,RB,RW,ST,CM,CB",24,Mexico,MEX,174.0,7.0,1179135,6.8,,1.0,670.0,11.0,,0.01,0.4,,0.134,0.04,5.0,,39.8,6.0,0.8,,1.2,0.8,4.0,0.8,0.9,0.134,,,,,,,
1572849,César Garza,Pumas,1946,"CDM,CM",20,Mexico,MEX,172.0,14.0,250000,7.29,,,490.0,9.0,,0.01,0.4,,,0.04,3.0,,43.7,2.4,0.4,0.4,2.8,2.6,2.2,0.6,1.1,0.551,,,,,,,
533769,Ulíses Rivas,Pumas,1946,CM,30,Mexico,MEX,177.0,15.0,1204854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304418,Santiago Trigos,Pumas,1946,"CDM,CM",24,Mexico,MEX,172.0,20.0,999598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767021,Uriel Antuna,Pumas,1946,"RW,CAM",28,Mexico,MEX,174.0,21.0,1952110,6.56,,2.0,391.0,11.0,,0.07,1.2,0.5,0.46,0.16,7.0,2.0,23.0,0.9,0.2,,0.9,0.9,0.7,0.2,1.2,0.23,,,,,,,1.0
862174,Alan Medina,Pumas,1946,"RM,RW,CM",28,Mexico,MEX,182.0,22.0,937730,7.12,1.0,3.0,650.0,11.0,0.14,0.09,1.0,0.3,0.415,0.13,9.0,2.0,29.5,0.8,1.0,0.7,2.6,0.3,1.2,0.3,1.2,0.138,,,,,,,
1658881,Ángel Rico,Pumas,1946,ST,21,Mexico,MEX,169.0,26.0,908780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643682,Adalberto Carrasquilla,Pumas,1946,"CM,CAM,CDM,LW,ST",27,Panama,PAN,170.0,28.0,2479929,7.22,2.0,1.0,810.0,10.0,0.22,0.04,0.8,0.2,0.111,0.13,15.0,4.0,38.2,4.6,1.0,0.9,1.1,1.0,0.7,0.2,1.6,0.444,,,,,,,
