equipo,elo,fecha,liga
Celta,1477.53,2021-10-03,laliga
Espanol,1494.42,2021-10-03,laliga
Real Madrid,1532.24,2021-10-03,laliga
Getafe,1448.5,2021-10-03,laliga
Sociedad,1529.66,2021-10-03,laliga
Villarreal,1519.84,2021-10-03,laliga
Betis,1507.36,2021-10-03,laliga
Granada,1477.75,2021-10-03,laliga
Sevilla,1523.12,2021-10-03,laliga
Levante,1468.61,2021-10-16,laliga
Getafe,1450.97,2021-10-16,laliga
Sociedad,1535.54,2021-10-16,laliga
Mallorca,1489.74,2021-10-16,laliga
Barcelona,1518.48,2021-10-17,laliga
Valencia,1500.06,2021-10-17,laliga
Villarreal,1509.11,2021-10-17,laliga
Osasuna,1523.52,2021-10-17,laliga
Celta,1468.07,2021-10-17,laliga
Sevilla,1532.58,2021-10-17,laliga
Vallecano,1517.83,2021-10-17,laliga
Elche,1486.79,2021-10-17,laliga
Alaves,1452.16,2021-10-18,laliga
Betis,1516.82,2021-10-18,laliga
Espanol,1500.79,2021-10-18,laliga
Cadiz,1475.21,2021-10-18,laliga
Osasuna,1520.52,2021-10-22,laliga
Granada,1480.75,2021-10-22,laliga
Valencia,1497.85,2021-10-23,laliga
Mallorca,1491.94,2021-10-23,laliga
Cadiz,1464.04,2021-10-23,laliga
Alaves,1463.32,2021-10-23,laliga
Elche,1485.16,2021-10-23,laliga
Espanol,1502.41,2021-10-23,laliga
Ath Bilbao,1521.84,2021-10-23,laliga
Villarreal,1502.55,2021-10-23,laliga
Betis,1523.56,2021-10-24,laliga
Vallecano,1511.09,2021-10-24,laliga
Ath Madrid,1526.67,2021-10-24,laliga
Sociedad,1537.33,2021-10-24,laliga
Sevilla,1537.85,2021-10-24,laliga
Levante,1463.34,2021-10-24,laliga
Barcelona,1508.17,2021-10-24,laliga
Real Madrid,1542.55,2021-10-24,laliga
Getafe,1440.73,2021-10-25,laliga
Celta,1478.31,2021-10-25,laliga
Alaves,1470.58,2021-10-26,laliga
Elche,1477.91,2021-10-26,laliga
Espanol,1500.91,2021-10-26,laliga
Ath Bilbao,1523.34,2021-10-26,laliga
Villarreal,1499.7,2021-10-26,laliga
Cadiz,1466.9,2021-10-26,laliga
Mallorca,1491.09,2021-10-27,laliga
Sevilla,1538.7,2021-10-27,laliga
Vallecano,1517.76,2021-10-27,laliga
Barcelona,1501.5,2021-10-27,laliga
